2014-03-19 12:59:47,790| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 24th - -0.08410992 Date 1999-12-29 00:00:00.0
2014-03-19 12:59:47,790| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 25th - -0.08357477 Date 2013-02-26 00:00:00.0
2014-03-19 12:59:47,791| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 26th - 0.08211505 Date 1998-12-30 00:00:00.0
2014-03-19 12:59:47,791| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 27th - -0.08168761 Date 2012-04-10 00:00:00.0
2014-03-19 12:59:47,791| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 28th - 0.08158397 Date 1999-02-23 00:00:00.0
2014-03-19 12:59:47,792| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 29th - -0.08089022 Date 2000-05-19 00:00:00.0
2014-03-19 12:59:47,792| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 30000 30th - -0.08006814 Date 2011-06-20 00:00:00.0
2014-03-19 12:59:47,792| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|INSTRID 15063 HP 1 HP2USE 1 Periodo 30000 Iteration 1
2014-03-19 12:59:47,799| WARN|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|INSTRID 15063 HP 1 - Period 30000 Iteration 1: confidence greater than 100% will be set to 0.9999999
2014-03-19 12:59:47,816| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Days 3963
2014-03-19 12:59:47,816| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventIn 3963
2014-03-19 12:59:47,816| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventOut 0
